FECHA,TICKET,SWAP_SPREAD
16/03/2023,RR,NA
16/03/2023,TIIE,25.9899999
16/03/2023,3X1,-2.3905299
16/03/2023,6X1,-13.385412
16/03/2023,9X1,-10.809699
16/03/2023,13X1,-25.5
16/03/2023,26X1,-59.811674
16/03/2023,39X1,-53.963008
16/03/2023,52X1,-45.095472
16/03/2023,65X1,-35.039013
16/03/2023,91X1,-32.491286
16/03/2023,130X1,-29.661248
16/03/2023,195X1,-24.419918
16/03/2023,260X1,-35.796741
16/03/2023,390X1,-34.297011
15/03/2023,RR,NA
15/03/2023,TIIE,26.2999999
15/03/2023,3X1,-4.7795381
15/03/2023,6X1,-18.539167
15/03/2023,9X1,-17.1565
15/03/2023,13X1,-32
15/03/2023,26X1,-60.774241
15/03/2023,39X1,-56.377368
15/03/2023,52X1,-45.819591
15/03/2023,65X1,-34.804378
15/03/2023,91X1,-28.713029
15/03/2023,130X1,-23.753403
15/03/2023,195X1,-20.525388
15/03/2023,260X1,-33.428048
15/03/2023,390X1,-30.227232
14/03/2023,3X1,-12.835612
14/03/2023,6X1,-21.039167
14/03/2023,9X1,-18.654347
14/03/2023,13X1,-33.5
14/03/2023,26X1,-52.310938
14/03/2023,39X1,-56.528142
14/03/2023,52X1,-46.187084
14/03/2023,65X1,-35.199362
14/03/2023,91X1,-28.046091
14/03/2023,130X1,-22.172959
14/03/2023,195X1,-18.539608
14/03/2023,260X1,-28.462464
14/03/2023,390X1,-25.949693
14/03/2023,RR,NA
14/03/2023,TIIE,19.5999999
13/03/2023,RR,NA
13/03/2023,TIIE,26.7999999
13/03/2023,3X1,0.10946998
13/03/2023,6X1,-16.001864
13/03/2023,9X1,-17.077048
13/03/2023,13X1,-35.999999
13/03/2023,26X1,-54.672039
13/03/2023,39X1,-61.55172
13/03/2023,52X1,-47.582068
13/03/2023,65X1,-35.016563
13/03/2023,91X1,-25.805565
13/03/2023,130X1,-19.594234
13/03/2023,195X1,-23.273187
13/03/2023,260X1,-28.999842
13/03/2023,390X1,-29.942373
10/03/2023,RR,NA
10/03/2023,TIIE,24.65
10/03/2023,3X1,-7.5589041
10/03/2023,6X1,-8.3854126
10/03/2023,9X1,-8.5385418
10/03/2023,13X1,-24.999999
10/03/2023,26X1,-46.613967
10/03/2023,39X1,-54.781479
10/03/2023,52X1,-41.50983
10/03/2023,65X1,-24.913175
10/03/2023,91X1,-23.603865
10/03/2023,130X1,-19.033898
10/03/2023,195X1,-15.567996
10/03/2023,260X1,-23.473447
10/03/2023,390X1,-24.64035
09/03/2023,RR,NA
09/03/2023,TIIE,14.7999999
09/03/2023,3X1,-1.3370252
09/03/2023,6X1,-6.0018647
09/03/2023,9X1,-5.8078728
09/03/2023,13X1,-13
09/03/2023,26X1,-39.519369
09/03/2023,39X1,-53.032475
09/03/2023,52X1,-37.660275
09/03/2023,65X1,-22.046863
09/03/2023,91X1,-18.714031
09/03/2023,130X1,-14.958044
09/03/2023,195X1,-6.7734567
09/03/2023,260X1,-15.604259
09/03/2023,390X1,-14.69295
08/03/2023,RR,NA
08/03/2023,TIIE,-1.3799999
08/03/2023,3X1,-3.6685504
08/03/2023,6X1,-5.6944702
08/03/2023,9X1,-3.9247021
08/03/2023,13X1,-15.999999
08/03/2023,26X1,-34.653143
08/03/2023,39X1,-52.417516
08/03/2023,52X1,-38.408403
08/03/2023,65X1,-25.946556
08/03/2023,91X1,-18.507001
08/03/2023,130X1,-14.112753
08/03/2023,195X1,-0.8675199
08/03/2023,260X1,-4.5908965
08/03/2023,390X1,0.22535482
07/03/2023,RR,NA
07/03/2023,TIIE,10.6
07/03/2023,3X1,-3.6151627
07/03/2023,6X1,-11.69447
07/03/2023,9X1,-8.1551302
07/03/2023,13X1,-18.499999
07/03/2023,26X1,-33.90864
07/03/2023,39X1,-44.465428
07/03/2023,52X1,-30.320679
07/03/2023,65X1,-21.95289
07/03/2023,91X1,-13.259595
07/03/2023,130X1,-9.8875946
07/03/2023,195X1,2.64437107
07/03/2023,260X1,0.71077705
07/03/2023,390X1,4.68763186
06/03/2023,RR,NA
06/03/2023,TIIE,8.49999999
06/03/2023,3X1,3.44243286
06/03/2023,6X1,-16.196943
06/03/2023,9X1,-19.15513
06/03/2023,13X1,-33
06/03/2023,26X1,-31.769042
